Date/Time,Word Count,en,es
2024.01.23-16.23.16,0,0,0
2024.01.23-16.25.49,485,485,0
2024.01.23-16.26.33,485,485,1
2024.01.23-16.55.25,485,485,437
2024.02.20-22.37.51,485,485,439
2024.02.26-19.57.35,499,499,439
2024.02.26-19.58.44,499,499,453
2024.03.01-01.56.24,510,510,453
2024.03.01-01.57.47,510,510,457
2024.03.05-02.48.39,518,518,457
2024.03.05-02.49.27,518,518,465
2024.04.03-23.09.54,535,535,465
2024.04.03-23.11.16,535,535,481
2024.04.27-03.38.04,590,590,481
2024.04.27-03.41.26,590,590,536
2024.05.12-02.46.34,601,601,531
2024.05.12-02.48.58,601,601,545
2024.05.12-22.38.51,606,606,545
2024.05.12-22.39.56,606,606,550
2024.05.27-01.17.34,632,632,550
2024.05.27-01.18.14,627,627,550
2024.05.27-01.19.22,627,627,556
2024.07.25-00.57.28,699,699,555
2024.07.25-01.06.02,699,699,618
2024.07.30-00.17.59,712,712,618
2024.08.14-03.14.49,715,715,618
2024.08.14-03.19.51,715,715,637
2024.09.16-00.28.44,730,730,628
